fecha,hora,parada,linea,identificadorCoche,esAdaptado,tiempo_min,distancia_km
2025-09-14,05:31:00,7881,153 R,342(A),True,74,3.6493208402304496
2025-09-14,05:31:00,5742,122 ROJA,4293,False,14,3.530680753066102
2025-09-14,05:36:04,7881,153 N,340(A),True,6,2.7334684354348577
2025-09-14,05:36:04,7881,120,1205(A),False,29,1.7537948121554034
2025-09-14,05:36:04,7881,153 R,342(A),True,68,2.916194140786876
2025-09-14,05:36:04,7881,123,1222(A),False,69,1.1999327889566311
2025-09-14,05:36:04,7881,120,1195(A),False,99,0.6286091043801313
2025-09-14,05:36:04,5742,122 ROJA,4293,False,15,3.5288947823695533
2025-09-14,05:41:10,7881,153 N,340(A),True,0,0.9242826830561254
2025-09-14,05:41:10,7881,120,1205(A),False,24,3.3325912945994536
2025-09-14,05:41:10,7881,153 R,342(A),True,63,2.383108054377608
2025-09-14,05:41:10,7881,120,1195(A),False,94,1.7082080057094227
2025-09-14,05:41:10,5742,122 ROJA,4293,False,15,3.5261641303077544
2025-09-14,05:46:14,7881,123,1230(A),False,15,5.577577399764144
2025-09-14,05:46:14,7881,120,1205(A),False,19,3.5668912110186657
2025-09-14,05:46:14,7881,123,1222(A),False,52,4.262395925714636
2025-09-14,05:46:14,7881,153 R,342(A),True,58,3.066598336671117
2025-09-14,05:46:14,7881,120,1195(A),False,89,2.70430284505788
2025-09-14,05:46:14,5742,122 ROJA,4293,False,11,3.4535433495006496
2025-09-14,05:51:18,7881,123,1230(A),False,9,3.3417192321588627
2025-09-14,05:51:18,7881,120,1205(A),False,14,3.5656047159633797
2025-09-14,05:51:18,7881,123,1222(A),False,49,2.497037870105698
2025-09-14,05:51:18,7881,153 R,342(A),True,53,3.5848561818713343
2025-09-14,05:51:18,7881,120,1195(A),False,82,3.4810620270556702
2025-09-14,05:51:18,7881,153 N,341(A),True,95,8.179550462882416
2025-09-14,05:51:18,7881,123,1230(A),False,99,3.3417192321588627
2025-09-14,05:51:18,5742,122 ROJA,4293,False,2,0.796118795271772
2025-09-14,05:56:22,7881,120,1205(A),False,14,3.72145883214716
2025-09-14,05:56:22,7881,123,1222(A),False,40,0.21861209347998098
2025-09-14,05:56:22,7881,153 R,342(A),True,48,3.1562437388522655
2025-09-14,05:56:22,7881,120,1195(A),False,76,2.480677187845948
2025-09-14,05:56:22,7881,153 N,341(A),True,90,8.881927325885762
2025-09-14,06:01:29,7881,120,1205(A),False,8,3.319344547740212
2025-09-14,06:01:29,7881,153 R,342(A),True,43,2.2363746329579084
2025-09-14,06:01:29,7881,120,1195(A),False,70,3.0999579567103646
2025-09-14,06:01:29,7881,153 N,341(A),True,85,7.466411015366569
2025-09-14,06:01:29,7881,123,1230(A),False,86,0.678067219056007
2025-09-14,06:01:29,5742,122 VERDE,4156,False,12,3.0146803703867375
2025-09-14,06:06:35,7881,120,1205(A),False,2,1.407372773009754
2025-09-14,06:06:35,7881,123,1222(A),False,27,3.5391796079462954
2025-09-14,06:06:35,7881,153 R,342(A),True,38,0.03852042965073424
2025-09-14,06:06:35,7881,153 N,341(A),True,80,5.929021383778398
2025-09-14,06:06:35,7881,123,1230(A),False,81,2.2757297465024466
2025-09-14,06:06:35,7881,120,1205(A),False,96,1.407372773009754
2025-09-14,06:06:35,5742,122 VERDE,4156,False,5,1.8425248499317448
